2022.03.04  10:22:45,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:46,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:47,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:48,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:49,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:50,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:51,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:52,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:53,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:54,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.03.04  10:22:55,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
